2018-08-29 03:58:36->由于目标计算机积极拒绝，无法连接。 172.18.114.203:9002
2018-08-29 03:58:36 055	连接设备失败!
2018-08-29 04:03:51 746	心跳应答：55 AA 14 06 00 E0 00 67 53 86 5B 00 1B 
2018-08-29 04:03:56 549	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:03:56 549	心跳应答：55 AA 15 06 00 E0 00 6C 53 86 5B 00 11 
2018-08-29 04:04:01 852	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:01 852	心跳应答：55 AA 16 06 00 E0 00 71 53 86 5B 00 0F 
2018-08-29 04:04:06 653	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:06 653	心跳应答：55 AA 17 06 00 E0 00 76 53 86 5B 00 09 
2018-08-29 04:04:11 852	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:11 853	心跳应答：55 AA 18 06 00 E0 00 7B 53 86 5B 00 0B 
2018-08-29 04:04:16 653	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:16 653	心跳应答：55 AA 19 06 00 E0 00 80 53 86 5B 00 F1 
2018-08-29 04:04:21 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:21 853	心跳应答：55 AA 1A 06 00 E0 00 85 53 86 5B 00 F7 
2018-08-29 04:04:26 652	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:26 652	心跳应答：55 AA 1B 06 00 E0 00 8A 53 86 5B 00 F9 
2018-08-29 04:04:31 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:31 853	心跳应答：55 AA 1C 06 00 E0 00 8F 53 86 5B 00 FB 
2018-08-29 04:04:36 652	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:36 652	心跳应答：55 AA 1D 06 00 E0 00 94 53 86 5B 00 E1 
2018-08-29 04:04:41 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:41 853	心跳应答：55 AA 1E 06 00 E0 00 99 53 86 5B 00 EF 
2018-08-29 04:04:46 653	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:46 653	心跳应答：55 AA 1F 06 00 E0 00 9E 53 86 5B 00 E9 
2018-08-29 04:04:51 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:51 853	心跳应答：55 AA 20 06 00 E0 00 A3 53 86 5B 00 EB 
2018-08-29 04:04:56 653	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:04:56 653	心跳应答：55 AA 21 06 00 E0 00 A8 53 86 5B 00 E1 
2018-08-29 04:05:01 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:01 853	心跳应答：55 AA 22 06 00 E0 00 AD 53 86 5B 00 E7 
2018-08-29 04:05:06 653	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:06 653	心跳应答：55 AA 23 06 00 E0 00 B2 53 86 5B 00 F9 
2018-08-29 04:05:11 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:11 853	心跳应答：55 AA 24 06 00 E0 00 B7 53 86 5B 00 FB 
2018-08-29 04:05:16 653	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:16 653	心跳应答：55 AA 25 06 00 E0 00 BC 53 86 5B 00 F1 
2018-08-29 04:05:21 853	收到心跳帧：06 00 F0 00 00 00 00 00 00 
2018-08-29 04:05:21 853	心跳应答：55 AA 26 06 00 E0 00 C1 53 86 5B 00 8F 
